,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
41,John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,Cars 2,Eddie Izzard,John Lasseter Thomas Kretschmann Joe Mantegna Adventure Animation Comedy Family Sport Eddie Izzard
42,Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,Green Lantern,Taika Waititi,Martin Campbell Temuera Morrison Ryan Reynolds Action Adventure Sci-Fi Taika Waititi
43,Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,Toy Story 3,Don Rickles,Lee Unkrich John Ratzenberger Tom Hanks Adventure Animation Comedy Family Fantasy Don Rickles
44,McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,Terminator Salvation,Common,McG Bryce Dallas Howard Christian Bale Action Adventure Sci-Fi Common
45,James Wan,Paul Walker,Action Crime Thriller,Jason Statham,Furious 7,Vin Diesel,James Wan Paul Walker Jason Statham Action Crime Thriller Vin Diesel
46,Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,World War Z,Mireille Enos,Marc Forster Brad Pitt Peter Capaldi Action Adventure Horror Sci-Fi Thriller Mireille Enos
47,Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,X-Men: Days of Future Past,Hugh Jackman,Bryan Singer Peter Dinklage Jennifer Lawrence Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman
48,J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness,Noel Clarke,J.J. Abrams Bruce Greenwood Benedict Cumberbatch Action Adventure Sci-Fi Noel Clarke
49,Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,Jack the Giant Slayer,Ralph Brown,Bryan Singer Ewen Bremner Eddie Marsan Adventure Fantasy Ralph Brown
50,Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,The Great Gatsby,Steve Bisley,Baz Luhrmann Elizabeth Debicki Leonardo DiCaprio Drama Romance Steve Bisley
51,Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time,Reece Ritchie,Mike Newell Richard Coyle Jake Gyllenhaal Action Adventure Fantasy Romance Reece Ritchie
52,Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,Pacific Rim,Larry Joe Campbell,Guillermo del Toro Clifton Collins Jr. Charlie Hunnam Action Adventure Sci-Fi Larry Joe Campbell
53,Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon,Kevin Dunn,Michael Bay Lester Speight Glenn Morshower Action Adventure Sci-Fi Kevin Dunn
54,Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,Jim Broadbent,Steven Spielberg Ray Winstone Harrison Ford Action Adventure Fantasy Jim Broadbent
55,Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,The Good Dinosaur,Peter Sohn,Peter Sohn Jack McGraw A.J. Buckley Adventure Animation Comedy Family Fantasy Peter Sohn
56,Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,Brave,Julie Walters,Mark Andrews John Ratzenberger Kelly Macdonald Adventure Animation Comedy Family Fantasy Julie Walters
57,Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,Star Trek Beyond,Lydia Wilson,Justin Lin Melissa Roxburgh Sofia Boutella Action Adventure Sci-Fi Thriller Lydia Wilson
58,Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,WALL·E,Jeff Garlin,Andrew Stanton Fred Willard John Ratzenberger Adventure Animation Family Sci-Fi Jeff Garlin
59,Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,Rush Hour 3,Noémie Lenoir,Brett Ratner Dana Ivey Tzi Ma Action Comedy Crime Thriller Noémie Lenoir
60,Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,2012,Tom McCarthy,Roland Emmerich Liam James Oliver Platt Action Adventure Sci-Fi Tom McCarthy
61,Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,A Christmas Carol,Gary Oldman,Robert Zemeckis Colin Firth Robin Wright Animation Drama Family Fantasy Gary Oldman
62,Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,Jupiter Ascending,Eddie Redmayne,Lana Wachowski Mila Kunis Channing Tatum Action Adventure Sci-Fi Eddie Redmayne
63,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,The Legend of Tarzan,Casper Crump,David Yates Alexander Skarsgård Christoph Waltz Action Adventure Drama Romance Casper Crump
64,Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Shane Rangi,Andrew Adamson Kiran Shah Jim Broadbent Adventure Family Fantasy Shane Rangi
65,Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse,Tye Sheridan,Bryan Singer Michael Fassbender Jennifer Lawrence Action Adventure Sci-Fi Tye Sheridan
66,Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,The Dark Knight,Morgan Freeman,Christopher Nolan Heath Ledger Christian Bale Action Crime Drama Thriller Morgan Freeman
67,Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,Up,Jess Harnell,Pete Docter Delroy Lindo John Ratzenberger Adventure Animation Comedy Family Jess Harnell
68,Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Monsters vs. Aliens,Stephen Colbert,Rob Letterman Rainn Wilson Amy Poehler Action Adventure Animation Comedy Family Sci-Fi Stephen Colbert
69,Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,Iron Man,Jon Favreau,Jon Favreau Jeff Bridges Robert Downey Jr. Action Adventure Sci-Fi Jon Favreau
70,Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,Hugo,Ray Winstone,Martin Scorsese Christopher Lee Chloë Grace Moretz Adventure Drama Family Mystery Ray Winstone
71,Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,Wild Wild West,Bai Ling,Barry Sonnenfeld Salma Hayek Will Smith Action Comedy Sci-Fi Western Bai Ling
72,Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor,Russell Wong,Rob Cohen Brendan Fraser Jet Li Action Adventure Fantasy Horror Thriller Russell Wong
73,David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,Suicide Squad,Ike Barinholtz,David Ayer Robin Atkin Downes Will Smith Action Adventure Comedy Sci-Fi Ike Barinholtz
74,Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,Evan Almighty,Steve Carell,Tom Shadyac Morgan Freeman Jimmy Bennett Comedy Family Fantasy Steve Carell
75,Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,Edge of Tomorrow,Noah Taylor,Doug Liman Lara Pulver Tom Cruise Action Adventure Sci-Fi Noah Taylor
76,Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Waterworld,Zakes Mokae,Kevin Reynolds Rick Aviles Jeanne Tripplehorn Action Adventure Sci-Fi Thriller Zakes Mokae
77,Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,Leo Howard,Stephen Sommers Dennis Quaid Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller Leo Howard
78,Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Inside Out,Phyllis Smith,Pete Docter Mindy Kaling Amy Poehler Adventure Animation Comedy Drama Family Fantasy Phyllis Smith
79,Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,The Jungle Book,Garry Shandling,Jon Favreau Bill Murray Scarlett Johansson Adventure Drama Family Fantasy Garry Shandling
80,Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,Iron Man 2,Jon Favreau,Jon Favreau Scarlett Johansson Robert Downey Jr. Action Adventure Sci-Fi Jon Favreau
81,Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,Snow White and the Huntsman,Sam Claflin,Rupert Sanders Kristen Stewart Chris Hemsworth Action Adventure Drama Fantasy Sam Claflin
82,Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Maleficent,Sam Riley,Robert Stromberg Sharlto Copley Angelina Jolie Pitt Action Adventure Family Fantasy Romance Sam Riley
83,Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes,Kodi Smit-McPhee,Matt Reeves Judy Greer Gary Oldman Action Adventure Drama Sci-Fi Kodi Smit-McPhee
84,Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,The Lovers,Bipasha Basu,Roland Joffé Alice Englert Tamsin Egerton Action Adventure Romance Sci-Fi Bipasha Basu
85,Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 Ronin,Jin Akanishi,Carl Rinsch Cary-Hiroyuki Tagawa Keanu Reeves Action Adventure Drama Fantasy Jin Akanishi
86,Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier,Hayley Atwell,Anthony Russo Chris Evans Scarlett Johansson Action Adventure Sci-Fi Hayley Atwell
87,Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,Shrek Forever After,Mary Kay Place,Mike Mitchell Kathy Griffin Jon Hamm Adventure Animation Comedy Family Fantasy Mary Kay Place
88,Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,Tomorrowland,Thomas Robinson,Brad Bird Chris Bauer Judy Greer Action Adventure Family Mystery Sci-Fi Thomas Robinson
89,Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Big Hero 6,Abraham Benrubi,Don Hall Daniel Henney Damon Wayans Jr. Action Adventure Animation Comedy Drama Family Sci-Fi Abraham Benrubi
90,Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Wreck-It Ralph,Joe Lo Truglio,Rich Moore Sarah Silverman Jack McBrayer Adventure Animation Comedy Family Sci-Fi Joe Lo Truglio
91,Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,The Polar Express,Peter Scolari,Robert Zemeckis Eddie Deezen Tom Hanks Adventure Animation Family Fantasy Peter Scolari
92,Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,Independence Day: Resurgence,Judd Hirsch,Roland Emmerich Sela Ward Vivica A. Fox Action Adventure Sci-Fi Judd Hirsch
93,Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,How to Train Your Dragon,Craig Ferguson,Dean DeBlois America Ferrera Gerard Butler Adventure Animation Family Fantasy Craig Ferguson
94,Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines,Carolyn Hennesy,Jonathan Mostow M.C. Gainey Nick Stahl Action Sci-Fi Carolyn Hennesy
95,James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,Guardians of the Galaxy,Djimon Hounsou,James Gunn Vin Diesel Bradley Cooper Action Adventure Sci-Fi Djimon Hounsou
96,Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,Interstellar,Mackenzie Foy,Christopher Nolan Anne Hathaway Matthew McConaughey Adventure Drama Sci-Fi Mackenzie Foy
97,Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Inception,Joseph Gordon-Levitt,Christopher Nolan Tom Hardy Leonardo DiCaprio Action Adventure Sci-Fi Thriller Joseph Gordon-Levitt
98,Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Godzilla Resurgence,Atsuko Maeda,Hideaki Anno Shin'ya Tsukamoto Mark Chinnery Action Adventure Drama Horror Sci-Fi Atsuko Maeda
99,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey,James Nesbitt,Peter Jackson Adam Brown Aidan Turner Adventure Fantasy James Nesbitt
100,Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,The Fast and the Furious,Jordana Brewster,Rob Cohen Vin Diesel Paul Walker Action Crime Thriller Jordana Brewster
101,David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,The Curious Case of Benjamin Button,Julia Ormond,David Fincher Jason Flemyng Brad Pitt Drama Fantasy Romance Julia Ormond
102,Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,X-Men: First Class,Oliver Platt,Matthew Vaughn Michael Fassbender Jennifer Lawrence Action Adventure Sci-Fi Oliver Platt
103,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,Josh Hutcherson,Francis Lawrence Philip Seymour Hoffman Jennifer Lawrence Adventure Sci-Fi Josh Hutcherson
104,Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,The Sorcerer's Apprentice,Robert Capron,Jon Turteltaub Omar Benson Miller Nicolas Cage Action Adventure Family Fantasy Robert Capron
105,Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,Poseidon,Andre Braugher,Wolfgang Petersen Mike Vogel Jimmy Bennett Action Adventure Drama Thriller Andre Braugher
106,James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,Alice Through the Looking Glass,Anne Hathaway,James Bobin Alan Rickman Johnny Depp Adventure Family Fantasy Anne Hathaway
107,Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Shrek the Third,Rupert Everett,Chris Miller Eric Idle Justin Timberlake Adventure Animation Comedy Family Fantasy Rupert Everett
108,Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,Warcraft,Ruth Negga,Duncan Jones Callum Rennie Dominic Cooper Action Adventure Fantasy Ruth Negga
109,Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,Terminator Genisys,Matt Smith,Alan Taylor Emilia Clarke J.K. Simmons Action Adventure Sci-Fi Matt Smith
110,Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader,Laura Brent,Michael Apted Shane Rangi Bruce Spence Adventure Family Fantasy Laura Brent
111,Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,Pearl Harbor,Mako,Michael Bay Jaime King Jennifer Garner Action Drama History Romance War Mako
112,Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,Transformers,Kevin Dunn,Michael Bay Michael O'Neill Zack Ward Action Adventure Sci-Fi Kevin Dunn
113,Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Alexander,Brian Blessed,Oliver Stone Angelina Jolie Pitt Anthony Hopkins Action Adventure Biography Drama History Romance War Brian Blessed
114,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix,Fiona Shaw,David Yates Daniel Radcliffe Robert Pattinson Adventure Family Fantasy Mystery Fiona Shaw
115,Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire,Rupert Grint,Mike Newell Daniel Radcliffe Robert Pattinson Adventure Family Fantasy Mystery Rupert Grint
116,Peter Berg,Charlize Theron,Action Drama,Will Smith,Hancock,Eddie Marsan,Peter Berg Charlize Theron Will Smith Action Drama Eddie Marsan
117,Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,I Am Legend,Willow Smith,Francis Lawrence Alice Braga Will Smith Drama Horror Sci-Fi Willow Smith
118,Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,Charlie and the Chocolate Factory,David Kelly,Tim Burton Christopher Lee Johnny Depp Adventure Comedy Family Fantasy David Kelly
119,Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,Ratatouille,Brian Dennehy,Brad Bird John Ratzenberger Janeane Garofalo Animation Comedy Family Fantasy Brian Dennehy
120,Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,Batman Begins,Morgan Freeman,Christopher Nolan Liam Neeson Christian Bale Action Adventure Morgan Freeman
121,Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,Madagascar: Escape 2 Africa,Cedric the Entertainer,Eric Darnell Jada Pinkett Smith Bernie Mac Action Adventure Animation Comedy Family Cedric the Entertainer
122,Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian,Steve Coogan,Shawn Levy Rami Malek Robin Williams Adventure Comedy Family Fantasy Steve Coogan
123,Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,X-Men Origins: Wolverine,Dominic Monaghan,Gavin Hood Ryan Reynolds Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller Dominic Monaghan
124,Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,The Matrix Revolutions,Nona Gaye,Lana Wachowski Collin Chou Essie Davis Action Sci-Fi Nona Gaye
125,Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Frozen,Livvy Stubenrauch,Chris Buck Maurice LaMarche Josh Gad Adventure Animation Comedy Family Fantasy Musical Livvy Stubenrauch
126,Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,The Matrix Reloaded,Helmut Bakaitis,Lana Wachowski Daniel Bernhardt Steve Bastoni Action Sci-Fi Helmut Bakaitis
127,Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,Thor: The Dark World,Anthony Hopkins,Alan Taylor Natalie Portman Chris Hemsworth Action Adventure Fantasy Anthony Hopkins
128,George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,Mad Max: Fury Road,Zoë Kravitz,George Miller Charlize Theron Tom Hardy Action Adventure Sci-Fi Thriller Zoë Kravitz
129,Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,Angels & Demons,Armin Mueller-Stahl,Ron Howard Ayelet Zurer Tom Hanks Mystery Thriller Armin Mueller-Stahl
130,Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,Thor,Anthony Hopkins,Kenneth Branagh Natalie Portman Chris Hemsworth Action Adventure Fantasy Anthony Hopkins
